level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1500	950	-1	
2	1	1	0	0	0	23	17	301	15	-1	
3	1	1	1	0	0	23	17	301	15	-1	
4	1	1	1	1	0	23	17	301	15	-1	
5	1	1	1	1	1	23	17	15	12	22.366867	>*
5	1	1	1	1	2	66	18	8	8	65.392204	©
5	1	1	1	1	3	88	17	86	15	30.464096	c7pfdrive(2)
5	1	1	1	1	4	182	22	2	2	67.829391	-
5	1	1	1	1	5	194	7	22	31	58.454952	cpu
5	1	1	1	1	6	223	7	21	31	58.454952	00%
5	1	1	1	1	7	252	22	2	2	59.480434	-
5	1	1	1	1	8	264	7	24	31	94.282860	mem
5	1	1	1	1	9	295	7	29	31	96.287292	00%
2	1	2	0	0	0	54	38	306	2	-1	
3	1	2	1	0	0	54	38	306	2	-1	
4	1	2	1	1	0	54	38	306	2	-1	
5	1	2	1	1	1	54	38	306	2	95.000000	 
2	1	3	0	0	0	16	50	90	14	-1	
3	1	3	1	0	0	16	50	90	14	-1	
4	1	3	1	1	0	16	50	90	14	-1	
5	1	3	1	1	1	16	51	10	10	89.035271	©
5	1	3	1	1	2	37	50	69	14	69.838814	c7pf-drive
2	1	4	0	0	0	29	89	314	15	-1	
3	1	4	1	0	0	29	89	314	15	-1	
4	1	4	1	1	0	29	89	314	15	-1	
5	1	4	1	1	1	29	89	167	15	52.825970	elliott@spark-dec9:
5	1	4	1	1	2	203	89	140	15	79.520348	/tmp/c7pf-drives
2	1	5	0	0	0	373	18	8	8	-1	
3	1	5	1	0	0	373	18	8	8	-1	
4	1	5	1	1	0	373	18	8	8	-1	
5	1	5	1	1	1	373	18	8	8	96.787827	+
2	1	6	0	0	0	521	50	47	20	-1	
3	1	6	1	0	0	521	50	47	20	-1	
4	1	6	1	1	0	521	50	47	20	-1	
5	1	6	1	1	1	521	50	47	20	61.981449	@s
2	1	7	0	0	0	29	107	521	14	-1	
3	1	7	1	0	0	29	107	521	14	-1	
4	1	7	1	1	0	29	107	521	14	-1	
5	1	7	1	1	1	29	107	98	11	93.243561	Switchboard
5	1	7	1	1	2	138	107	61	11	96.873558	created
5	1	7	1	1	3	210	107	16	11	91.861443	in
5	1	7	1	1	4	237	107	259	14	88.699715	/tmp/c7pf-drive/.switchboard/
5	1	7	1	1	5	509	112	3	2	65.959045	-
5	1	7	1	1	6	524	107	26	14	96.975098	git
2	1	8	0	0	0	31	124	195	14	-1	
3	1	8	1	0	0	31	124	195	14	-1	
4	1	8	1	1	0	31	124	195	14	-1	
5	1	8	1	1	1	31	124	87	14	95.475494	repository
5	1	8	1	1	2	129	124	97	11	96.930611	initialized
2	1	9	0	0	0	37	781	287	15	-1	
3	1	9	1	0	0	37	781	287	15	-1	
4	1	9	1	1	0	37	781	287	15	-1	
5	1	9	1	1	1	37	781	43	12	92.625488	Shell
5	1	9	1	1	2	91	781	70	12	95.364243	commands
