word	package	path
acorn	node-acorn	/usr/bin/acorn
aha	aha	/usr/bin/aha
alias	bash builtin	/usr/bin/aha
animate	imagemagick-6.q16	/usr/bin/animate
apropos	man-db	/usr/bin/apropos
apt	apt	/usr/bin/apt
arch	coreutils	/usr/bin/arch
ark	ark	/usr/bin/ark
as	binutils-aarch64-linux-gnu	/usr/bin/as
assistant	qtchooser	/usr/bin/assistant
audacious	audacious	/usr/bin/audacious
audacity	audacity	/usr/bin/audacity
baobab	baobab	/usr/bin/baobab
bash	bash	/usr/bin/bash
bind	bash builtin	/usr/bin/bash
bison	bison	/usr/bin/bison
bitmap	x11-apps	/usr/bin/bitmap
break	bash builtin	/usr/bin/bitmap
bridge	(no package)	/usr/sbin/bridge
browse	xdg-utils	/usr/bin/browse
builtin	bash builtin	/usr/bin/browse
caller	bash builtin	/usr/bin/browse
cancel	cups-client	/usr/bin/cancel
case	bash keyword	/usr/bin/cancel
cat	coreutils	/usr/bin/cat
cc	gcc-13-aarch64-linux-gnu	/usr/bin/cc
chat	ppp	/usr/sbin/chat
clear	ncurses-bin	/usr/bin/clear
cluster	graphviz	/usr/bin/cluster
codex	(no package)	/home/elliott/.npm-global/bin/codex
col	bsdextrautils	/usr/bin/col
column	bsdextrautils	/usr/bin/column
comm	coreutils	/usr/bin/comm
command	bash builtin	/usr/bin/comm
compare	imagemagick-6.q16	/usr/bin/compare
complete	bash builtin	/usr/bin/compare
composite	imagemagick-6.q16	/usr/bin/composite
conjure	imagemagick-6.q16	/usr/bin/conjure
continue	bash builtin	/usr/bin/conjure
convert	imagemagick-6.q16	/usr/bin/convert
curl	curl	/usr/bin/curl
cut	coreutils	/usr/bin/cut
dash	dash	/usr/bin/dash
date	coreutils	/usr/bin/date
dd	coreutils	/usr/bin/dd
declare	bash builtin	/usr/bin/dd
defaults	gnustep-base-runtime	/usr/bin/defaults
designer	qtchooser	/usr/bin/designer
diff	diffutils	/usr/bin/diff
dig	bind9-dnsutils	/usr/bin/dig
disown	bash builtin	/usr/bin/dig
display	imagemagick-6.q16	/usr/bin/display
do	bash keyword	/usr/bin/display
dolphin	dolphin	/usr/bin/dolphin
done	bash keyword	/usr/bin/dolphin
dot	libgvc6	/usr/bin/dot
dotty	graphviz	/usr/bin/dotty
dragon	dragonplayer	/usr/bin/dragon
duplicity	duplicity	/usr/bin/duplicity
ebb	texlive-binaries	/usr/bin/ebb
echo	bash builtin	/usr/bin/ebb
ed	(no package)	/usr/bin/ed
editor	nano	/usr/bin/editor
eject	eject	/usr/bin/eject
else	bash keyword	/usr/bin/eject
enable	bash builtin	/usr/bin/eject
evince	evince	/usr/bin/evince
ex	vim	/usr/bin/ex
exec	bash builtin	/usr/bin/ex
exit	bash builtin	/usr/bin/ex
expand	coreutils	/usr/bin/expand
expiry	passwd	/usr/bin/expiry
export	bash builtin	/usr/bin/expiry
factor	coreutils	/usr/bin/factor
false	bash builtin	/usr/bin/factor
file	file	/usr/bin/file
find	findutils	/usr/bin/find
flex	flex	/usr/bin/flex
flock	util-linux	/usr/bin/flock
fold	coreutils	/usr/bin/fold
for	bash keyword	/usr/bin/fold
free	procps	/usr/bin/free
from	mailutils	/usr/bin/from
ftp	tnftp	/usr/bin/ftp
function	bash keyword	/usr/bin/ftp
gawk	gawk	/usr/bin/gawk
gem	ruby-rubygems	/usr/bin/gem
gold	binutils-aarch64-linux-gnu	/usr/bin/gold
grep	grep	/usr/bin/grep
grog	groff-base	/usr/bin/grog
