# /tmp/claude-1000/pf4k/fix/growth/out/think-after/think.samples.tsv  rate=0.0/s  bucket=5.0s  samples=257
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	   10.1	    10.1	   4.8	  154.6	   209	   0.000
   5.2	    7.4	     7.4	   5.0	  154.7	   221	   0.000
  10.5	    7.0	     7.2	   4.9	  154.9	   222	   0.000
  15.6	    7.1	     7.3	   4.8	  155.2	   221	   0.000
  20.8	    7.9	     7.9	   5.8	  155.3	   220	   0.000
  25.8	    7.8	     7.8	   5.9	  155.5	   222	   0.000
  31.1	    6.7	     6.9	   4.0	  156.1	   221	   0.000
  36.2	    6.3	     6.3	   4.5	  156.3	   225	   0.000
  41.2	    6.6	     6.6	   4.4	  156.6	   223	   0.000
  46.5	    7.2	     7.2	   4.6	  156.8	   231	   0.000
  51.5	    0.6	     0.8	   6.2	  156.8	    18	   0.000
  56.5	    0.8	     0.4	   5.4	  156.8	    18	   0.000
  61.7	    0.6	     0.8	   6.6	  156.8	    18	   0.000
  66.9	    0.6	     0.6	   6.6	  156.8	    18	   0.000
  72.0	    0.0	     1.3	   6.4	  156.8	    19	   0.000
# TOTAL gui_cpu_s=3.96 proc_cpu_s=4.00 rss_start_MB=152.2 rss_end_MB=156.8 span_s=72.8
