# /tmp/claude-1000/pf4k/fix/growth/out/think-before/think.samples.tsv  rate=0.0/s  bucket=5.0s  samples=298
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	    5.7	     5.5	   2.7	  154.2	   214	   0.000
   5.1	   22.6	    23.0	   2.8	  154.8	   184	   0.000
  10.1	   34.4	    34.2	   2.8	  155.3	   157	   0.000
  15.2	   41.8	    41.8	   2.6	  155.5	   135	   0.000
  20.3	   51.9	    52.3	   2.6	  156.3	   117	   0.000
  25.4	   58.4	    58.2	   2.7	  156.7	   104	   0.000
  30.5	   65.6	    65.6	   2.8	  157.6	    87	   0.000
  35.6	   72.6	    72.4	   2.9	  157.6	    73	   0.000
  40.7	   79.0	    79.2	   2.6	  158.3	    60	   0.000
  45.7	   84.4	    84.4	   2.7	  158.7	    45	   0.000
  50.9	    8.1	     8.3	   4.3	  158.7	    30	   0.000
  56.0	    0.4	     0.4	   3.9	  158.7	    18	   0.000
  61.1	    0.4	     0.2	   3.7	  158.7	    18	   0.000
  66.2	    0.2	     0.4	   4.1	  158.7	    18	   0.000
  71.3	    0.0	     0.0	   4.2	  158.7	    18	   0.000
# TOTAL gui_cpu_s=26.77 proc_cpu_s=26.79 rss_start_MB=152.8 rss_end_MB=158.7 span_s=72.8
