# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 563  of event 'armv8_pmuv3_0/cycles/P'
# Event count (approx.): 3164167381
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                        
# ........  ...............  .........................  ..............................................................................................................................................................................................................................................................................
#
     9.33%  relay            relay                      [.] relay::LibVtermCore::hyperlinkRuns(QString const&) const
     8.28%  relay            libQt5Core.so.5.15.13      [.] 0x00000000001345d4
     4.03%  relay            libQt5Gui.so.5.15.13       [.] 0x0000000000389194
     3.49%  relay            relay                      [.] __aarch64_ldadd4_acq_rel
     2.70%  relay            libQt5Gui.so.5.15.13       [.] 0x0000000000582604
     2.67%  relay            relay                      [.] QFontMetrics::QFontMetrics(QFont const&)@plt
     2.62%  relay            libQt5Gui.so.5.15.13       [.] 0x0000000000389198
     2.30%  relay            relay                      [.] relay::LibVtermCore::Impl::convertCell(VTermScreenCell const&, relay::Line*, relay::Cell*) const
     1.39%  relay            libQt5Core.so.5.15.13      [.] operator==(QString const&, QString const&)
     1.21%  relay            libQt5Gui.so.5.15.13       [.] 0x00000000005788f8
     1.19%  relay            libQt5Gui.so.5.15.13       [.] 0x00000000005788f4
     1.12%  relay            libc.so.6                  [.] _int_malloc
     1.06%  relay            libQt5Core.so.5.15.13      [.] 0x00000000003da2a4
     0.96%  relay            libQt5Core.so.5.15.13      [.] QCoreApplicationPrivate::sendThroughApplicationEventFilters(QObject*, QEvent*)
     0.89%  relay            relay                      [.] relay::TerminalView::resolve(unsigned int, bool) const
     0.87%  relay            libc.so.6                  [.] malloc
     0.82%  relay            libQt5Core.so.5.15.13      [.] qHash(QString const&, unsigned int)
     0.80%  relay            relay                      [.] relay::TerminalView::paintRow(QPainter&, int, relay::Line const&, int)::{lambda(int)#1}::operator()(int) const
     0.69%  relay            libQt5Core.so.5.15.13      [.] QString::startsWith(QString const&, Qt::CaseSensitivity) const
     0.69%  relay            relay                      [.] relay::TerminalView::paintRow(QPainter&, int, relay::Line const&, int)
