# out/idle.samples.tsv  rate=100.0/s  bucket=5.0s  samples=510
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	    0.6	     0.4	   0.0	  152.7	    18	   0.060
   5.0	    0.4	     0.4	   0.0	  152.7	    18	   0.040
  10.1	    0.4	     0.6	   0.0	  152.7	    18	   0.039
  15.2	    0.6	     0.4	   0.0	  152.7	    18	   0.060
  20.2	    0.2	     0.2	   0.0	  152.7	    18	   0.020
  25.3	    0.6	     0.6	   0.0	  152.7	    18	   0.057
  30.5	    0.4	     0.6	   0.0	  152.7	    18	   0.039
  35.6	    0.4	     0.4	   0.0	  152.7	    18	   0.040
  40.7	    0.4	     0.4	   0.0	  152.7	    18	   0.040
  45.7	    0.6	     0.4	   0.0	  152.7	    18	   0.058
  50.9	    0.4	     0.6	   0.0	  152.7	    18	   0.040
  55.9	    0.4	     0.4	   0.0	  152.7	    19	   0.040
  61.0	    0.6	     0.4	   0.0	  152.7	    18	   0.060
  66.0	    0.2	     0.4	   0.0	  152.7	    18	   0.020
  71.0	    0.6	     0.4	   0.0	  152.7	    18	   0.059
  76.1	    0.4	     0.6	   0.0	  152.7	    18	   0.039
  81.2	    0.2	     0.2	   0.0	  152.7	    18	   0.020
  86.2	    0.6	     0.6	   0.0	  152.7	    18	   0.059
  91.3	    0.6	     0.4	   0.0	  152.7	    18	   0.059
  96.4	    0.4	     0.6	   0.0	  152.7	    18	   0.040
 101.5	    0.4	     0.4	   0.0	  152.7	    18	   0.039
 106.5	    0.4	     0.4	   0.0	  152.7	    18	   0.040
 111.5	    0.2	     0.2	   0.0	  152.7	    18	   0.020
 116.5	    0.6	     0.6	   0.0	  152.7	    18	   0.059
 121.6	    0.4	     0.4	   0.0	  152.7	    17	   0.038
# TOTAL gui_cpu_s=0.54 proc_cpu_s=0.54 rss_start_MB=152.7 rss_end_MB=152.7 span_s=124.3
