# out/md.samples.tsv  rate=100.0/s  bucket=5.0s  samples=176
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	   14.4	    14.6	   4.0	  153.6	   458	   1.443
   5.1	   14.7	    14.9	   4.8	  156.3	   530	   1.473
  10.1	    3.4	     3.8	   7.3	  163.1	    73	   0.337
  15.1	    0.4	     0.4	   6.1	  163.2	    19	   0.039
  20.2	    0.6	     0.4	   0.4	  163.2	    20	   0.060
  25.2	    0.6	     0.6	   0.0	  163.2	    19	   0.060
  30.2	    0.4	     0.4	   0.0	  163.2	    19	   0.039
  35.3	    0.6	     0.6	   0.0	  163.2	    18	   0.060
  40.3	    0.4	     0.4	   0.0	  163.2	    19	   0.042
# TOTAL gui_cpu_s=1.78 proc_cpu_s=1.81 rss_start_MB=152.2 rss_end_MB=163.2 span_s=42.7
