label	gui_cpu_s	proc_cpu_s	span_s	rss_start_MB	rss_peak_MB
a100	1.60	1.71	28.6	152.8	158.0
a1000	0.71	0.74	18.8	152.3	157.4
bpf	1.29	1.36	32.8	151.7	157.6
bpftools	6.59	6.71	62.6	151.7	159.9
dbg	0.50	0.51	109.5	151.8	151.8
idle	0.54	0.54	124.3	152.7	152.7
ipc	4.28	4.37	775.3	152.6	156.4
links	1.55	1.65	28.7	152.9	157.6
md	1.78	1.81	42.7	152.2	163.2
nolinks	1.37	1.49	28.6	152.3	157.6
smoke	2.13	2.21	163.6	152.9	157.6
smoke2	0.99	1.02	45.2	151.9	155.4
think	0.85	0.88	42.7	152.3	153.6
tools	6.81	6.97	172.6	152.0	160.4
turns	22.79	23.21	233.7	152.3	158.2
