# out/think.samples.tsv  rate=100.0/s  bucket=5.0s  samples=176
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	    5.7	     5.9	   3.0	  152.8	   218	   0.573
   5.1	    5.0	     5.0	   2.6	  152.8	   228	   0.498
  10.1	    3.6	     3.6	   4.8	  153.5	   107	   0.357
  15.1	    0.4	     0.8	   4.4	  153.6	    19	   0.040
  20.2	    0.6	     0.6	   1.6	  153.6	    20	   0.060
  25.2	    0.4	     0.4	   0.0	  153.6	    18	   0.039
  30.3	    0.4	     0.6	   0.0	  153.6	    19	   0.040
  35.3	    0.6	     0.2	   0.0	  153.6	    18	   0.060
  40.3	    0.4	     0.8	   0.0	  153.6	    19	   0.042
# TOTAL gui_cpu_s=0.85 proc_cpu_s=0.88 rss_start_MB=152.3 rss_end_MB=153.6 span_s=42.7
