# out/tools.samples.tsv  rate=100.0/s  bucket=5.0s  samples=708
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	   29.6	    30.4	  50.3	  154.0	   476	   2.962
   5.0	   33.8	    34.4	  62.0	  156.1	   472	   3.376
  10.1	   33.4	    34.2	  63.3	  158.0	   418	   3.341
  15.1	   22.1	    22.7	  46.8	  160.1	   279	   2.212
  20.2	    0.6	     0.6	   0.0	  160.1	    20	   0.059
  25.3	    0.8	     0.8	   0.0	  160.1	    19	   0.076
  30.5	    0.6	     0.6	   0.0	  160.1	    20	   0.060
  35.5	    0.6	     0.6	   0.0	  160.1	    19	   0.060
  40.5	    0.6	     0.6	   0.0	  160.1	    19	   0.059
  45.6	    0.4	     0.6	   0.0	  160.1	    19	   0.040
  50.6	    0.6	     0.4	   0.0	  160.1	    19	   0.060
  55.7	    0.6	     0.6	   0.0	  160.1	    19	   0.060
  60.7	    0.2	     0.4	   0.0	  160.1	    19	   0.020
  65.7	    0.6	     0.4	   0.0	  160.1	    19	   0.059
  70.8	    0.4	     0.6	   0.0	  160.1	    19	   0.040
  75.8	    0.6	     0.4	   0.0	  160.1	    19	   0.060
  80.8	    0.6	     0.4	   0.0	  160.1	    20	   0.059
  85.9	    0.2	     0.6	   0.0	  160.1	    19	   0.020
  90.9	    0.8	     0.6	   0.0	  160.1	    19	   0.076
  96.2	    0.4	     0.6	   0.0	  160.1	    20	   0.040
 101.2	    0.6	     0.6	   0.0	  160.1	    19	   0.060
 106.2	    0.6	     0.6	   0.0	  160.1	    19	   0.059
 111.3	    0.6	     0.6	   0.0	  160.1	    19	   0.059
 116.4	    0.6	     0.4	   0.0	  160.1	    19	   0.059
 121.4	    0.2	     0.4	   0.0	  160.1	    19	   0.020
 126.4	    0.6	     0.4	   0.0	  160.1	    19	   0.059
 131.5	    0.6	     0.8	   0.0	  160.1	    19	   0.059
 136.6	    0.8	     0.6	   0.0	  160.1	    19	   0.079
 141.6	    0.4	     0.6	   0.0	  160.1	    19	   0.040
 146.6	    0.6	     0.8	   0.0	  160.1	    19	   0.059
 151.7	    0.6	     0.4	   0.0	  160.4	    20	   0.060
 156.8	    0.6	     0.6	   0.0	  160.4	    19	   0.058
 162.0	    0.4	     0.4	   0.0	  160.4	    19	   0.039
 167.0	    0.4	     0.6	   0.0	  160.4	    18	   0.040
 172.1	    0.0	     0.0	   0.0	  160.4	    19	   0.000
# TOTAL gui_cpu_s=6.81 proc_cpu_s=6.97 rss_start_MB=152.0 rss_end_MB=160.4 span_s=172.6
