# out/turns.samples.tsv  rate=100.0/s  bucket=5.0s  samples=3340
t_s	gui_cpu%	proc_cpu%	worker%	rss_MB	cs/s	ms_per_delta
   0.0	   22.1	    22.5	  16.8	  158.1	   117	   2.213
 100.5	    0.4	     0.4	   0.0	  158.1	    19	   0.040
 105.5	    0.2	     0.6	   0.0	  158.1	    19	   0.020
 110.6	    0.4	     0.4	   0.0	  158.1	    19	   0.038
 115.8	    0.6	     0.2	   0.0	  158.1	    18	   0.059
 120.8	    0.2	     0.6	   0.0	  158.1	    19	   0.020
 125.9	    0.6	     0.2	   0.0	  158.1	    19	   0.059
 131.0	    0.2	     0.4	   0.0	  158.1	    18	   0.020
 136.0	    0.6	     0.4	   0.0	  158.1	    18	   0.059
 141.1	    0.2	     0.4	   0.0	  158.1	    18	   0.020
 146.1	    0.4	     0.4	   0.0	  158.1	    19	   0.039
 151.3	    0.4	     0.6	   0.0	  158.1	    18	   0.040
 156.3	    0.6	     0.4	   0.0	  158.1	    19	   0.059
 161.4	    0.4	     0.6	   0.0	  158.1	    18	   0.040
 166.4	    0.6	     0.6	   0.0	  158.1	    19	   0.059
 171.5	    0.4	     0.4	   0.0	  158.1	    18	   0.039
 176.5	    0.6	     0.4	   0.0	  158.1	    19	   0.060
 181.6	    0.4	     0.6	   0.0	  158.1	    19	   0.040
 186.6	    0.6	     0.4	   0.0	  158.1	    18	   0.060
 191.6	    0.2	     0.4	   0.0	  158.1	    19	   0.020
 196.7	    0.4	     0.6	   0.0	  158.1	    19	   0.039
 201.8	    0.6	     0.2	   0.0	  158.1	    18	   0.060
 206.8	    0.4	     0.4	   0.0	  158.1	    19	   0.040
 211.8	    0.4	     0.6	   0.0	  158.1	    18	   0.040
 216.9	    0.4	     0.4	   0.0	  158.1	    19	   0.040
 221.9	    0.4	     0.4	   0.0	  158.1	    18	   0.040
 226.9	    0.6	     0.4	   0.0	  158.1	    19	   0.057
 232.2	    0.2	     0.6	   0.0	  158.1	    18	   0.020
 237.3	   -5.0	    -5.8	 -10.2	  158.2	   -28	  -0.501
 242.5	    0.4	     0.4	   0.0	  158.2	    19	   0.039
 247.6	    0.2	     0.4	   0.0	  158.2	    19	   0.019
 252.8	    0.6	     0.6	   0.0	  158.2	    19	   0.060
 257.8	    0.4	     0.4	   0.0	  158.2	    18	   0.039
 262.9	    0.4	     0.4	   0.0	  158.2	    18	   0.040
 267.9	    0.4	     0.4	   0.0	  158.2	    19	   0.040
 272.9	    0.4	     0.6	   0.0	  158.2	    18	   0.040
 278.0	    0.6	     0.4	   0.0	  158.2	    19	   0.059
 283.1	    0.6	     0.4	   0.0	  158.2	    18	   0.060
 288.1	    0.2	     0.4	   0.0	  158.2	    19	   0.019
 293.3	    0.4	     0.4	   0.0	  158.2	    18	   0.039
 298.4	    0.4	     0.4	   0.0	  158.2	    19	   0.039
 303.5	    0.4	     0.6	   0.0	  158.2	    19	   0.039
 308.6	    0.6	     0.4	   0.0	  158.2	    19	   0.058
 313.7	    0.2	     0.2	   0.0	  158.2	    18	   0.020
 318.8	    0.4	     0.6	   0.0	  158.2	    18	   0.039
 323.9	    0.6	     0.4	   0.0	  158.2	    19	   0.060
 328.9	    0.6	     0.6	   0.0	  158.2	    18	   0.060
 334.0	    0.6	     0.6	   0.0	  158.2	    19	   0.059
 339.1	    0.6	     0.6	   0.0	  158.2	    18	   0.060
 344.1	    0.4	     0.6	   0.0	  158.2	    19	   0.039
 349.2	    0.4	     0.2	   0.0	  158.2	    19	   0.040
 354.2	    0.4	     0.4	   0.0	  158.2	    18	   0.040
 359.3	    0.4	     0.6	   0.0	  158.2	    19	   0.040
 364.3	    0.4	     0.4	   0.0	  158.2	    19	   0.040
 369.4	    0.4	     0.2	   0.0	  158.2	    18	   0.039
 374.4	    0.4	     0.6	   0.0	  158.2	    19	   0.040
 379.5	    0.6	     0.4	   0.0	  158.2	    18	   0.059
 384.6	    0.4	     0.6	   0.0	  158.2	    19	   0.040
 389.6	    0.6	     0.4	   0.0	  158.2	    19	   0.059
 394.7	    0.2	     0.4	   0.0	  158.2	    18	   0.020
 399.7	    0.6	     0.4	   0.0	  158.2	    19	   0.060
 404.7	    0.2	     0.4	   0.0	  158.2	    18	   0.019
 409.9	    0.4	     0.4	   0.0	  158.2	    19	   0.040
 415.0	    0.6	     0.4	   0.0	  158.2	    18	   0.059
 420.0	    0.4	     0.4	   0.0	  158.2	    19	   0.039
 425.1	    0.4	     0.8	   0.0	  158.2	    19	   0.039
 430.2	    0.6	     0.2	   0.0	  158.2	    19	   0.058
 435.4	    0.4	     0.6	   0.0	  158.2	    18	   0.040
 440.4	    0.6	     0.4	   0.0	  158.2	    19	   0.059
