level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1440	900	-1	
2	1	1	0	0	0	23	17	14	12	-1	
3	1	1	1	0	0	23	17	14	12	-1	
4	1	1	1	1	0	23	17	14	12	-1	
5	1	1	1	1	1	23	17	14	12	86.685951	>
2	1	2	0	0	0	304	20	6	6	-1	
3	1	2	1	0	0	304	20	6	6	-1	
4	1	2	1	1	0	304	20	6	6	-1	
5	1	2	1	1	1	304	20	6	6	86.609077	x
2	1	3	0	0	0	333	18	8	8	-1	
3	1	3	1	0	0	333	18	8	8	-1	
4	1	3	1	1	0	333	18	8	8	-1	
5	1	3	1	1	1	333	18	8	8	96.796135	+
2	1	4	0	0	0	66	17	217	15	-1	
3	1	4	1	0	0	66	17	217	15	-1	
4	1	4	1	1	0	66	17	217	15	-1	
5	1	4	1	1	1	66	18	8	8	90.241760	©
5	1	4	1	1	2	89	17	45	15	90.241760	project
5	1	4	1	1	3	142	22	2	2	75.171944	-
5	1	4	1	1	4	153	20	22	12	92.067215	cpu
5	1	4	1	1	5	182	9	23	29	80.583191	00%
5	1	4	1	1	6	212	22	2	2	80.583191	-
5	1	4	1	1	7	223	20	26	8	95.175255	mem
5	1	4	1	1	8	257	9	30	29	91.758987	00%
2	1	5	0	0	0	1247	20	42	14	-1	
3	1	5	1	0	0	1247	20	42	14	-1	
4	1	5	1	1	0	1247	20	42	14	-1	
5	1	5	1	1	1	1247	20	42	14	52.452736	2
5	1	5	1	1	2	1275	15	17	28	30.905714	&
2	1	6	0	0	0	1315	23	12	8	-1	
3	1	6	1	0	0	1315	23	12	8	-1	
4	1	6	1	1	0	1315	23	12	8	-1	
5	1	6	1	1	1	1315	23	12	8	30.998951	2
2	1	7	0	0	0	1355	29	10	2	-1	
3	1	7	1	0	0	1355	29	10	2	-1	
4	1	7	1	1	0	1355	29	10	2	-1	
5	1	7	1	1	1	1355	29	10	2	0.000000	-
2	1	8	0	0	0	1383	22	38	10	-1	
3	1	8	1	0	0	1383	22	38	10	-1	
4	1	8	1	1	0	1383	22	38	10	-1	
5	1	8	1	1	1	1383	22	38	10	72.280212	ox
2	1	9	0	0	0	6	41	4	4	-1	
3	1	9	1	0	0	6	41	4	4	-1	
4	1	9	1	1	0	6	41	4	4	-1	
5	1	9	1	1	1	6	41	4	4	0.000000	-
2	1	10	0	0	0	17	50	216	14	-1	
3	1	10	1	0	0	17	50	216	14	-1	
4	1	10	1	1	0	17	50	216	14	-1	
5	1	10	1	1	1	17	52	8	8	96.010216	©
5	1	10	1	1	2	37	50	50	14	96.010216	Testing
5	1	10	1	1	3	92	50	59	11	96.419754	terminal
5	1	10	1	1	4	156	50	77	11	96.322250	interaction
2	1	11	0	0	0	251	53	26	8	-1	
3	1	11	1	0	0	251	53	26	8	-1	
4	1	11	1	1	0	251	53	26	8	-1	
5	1	11	1	1	1	251	53	26	8	96.334984	auto
2	1	12	0	0	0	1223	50	121	20	-1	
3	1	12	1	0	0	1223	50	121	20	-1	
4	1	12	1	1	0	1223	50	121	20	-1	
5	1	12	1	1	1	1223	52	54	12	26.670971	~iproject
5	1	12	1	1	2	1297	50	20	20	17.833014	|@)
2	1	13	0	0	0	29	90	627	13	-1	
3	1	13	1	0	0	29	90	627	13	-1	
4	1	13	1	1	0	29	90	627	13	-1	
5	1	13	1	1	1	29	91	17	10	96.899559	To
5	1	13	1	1	2	58	93	24	8	95.920845	run
5	1	13	1	1	3	93	93	7	8	95.160713	a
5	1	13	1	1	4	111	90	61	11	95.160713	command
5	1	13	1	1	5	183	93	15	8	96.396210	as
5	1	13	1	1	6	210	90	115	11	96.396210	administrator
5	1	13	1	1	7	338	90	41	13	93.240082	(user
5	1	13	1	1	8	391	90	67	13	59.538376	“root"),
5	1	13	1	1	9	471	93	25	8	96.651222	use
5	1	13	1	1	10	508	90	42	11	92.589958	"sudo
5	1	13	1	1	11	560	90	96	11	79.672890	<command>".
2	1	14	0	0	0	30	107	284	15	-1	
3	1	14	1	0	0	30	107	284	15	-1	
4	1	14	1	1	0	30	107	284	15	-1	
5	1	14	1	1	1	30	108	25	10	94.799454	See
5	1	14	1	1	2	67	108	33	10	83.220932	"man
5	1	14	1	1	3	111	107	34	11	81.934113	sudo
5	1	14	1	1	4	155	108	43	14	80.179291	root"
5	1	14	1	1	5	210	107	25	11	96.766983	for
5	1	14	1	1	6	246	107	68	11	95.786659	details.
2	1	15	0	0	0	39	141	88	14	-1	
3	1	15	1	0	0	39	141	88	14	-1	
4	1	15	1	1	0	39	141	88	14	-1	
5	1	15	1	1	1	39	142	69	13	75.754684	/project
5	1	15	1	1	2	120	141	7	13	92.048615	$
2	1	16	0	0	0	48	159	24	4	-1	
3	1	16	1	0	0	48	159	24	4	-1	
4	1	16	1	1	0	48	159	24	4	-1	
5	1	16	1	1	1	48	159	24	4	93.614235	=
2	1	17	0	0	0	66	163	7	6	-1	
3	1	17	1	0	0	66	163	7	6	-1	
4	1	17	1	1	0	66	163	7	6	-1	
5	1	17	1	1	1	66	163	7	6	39.811081	Zi
2	1	18	0	0	0	75	159	249	10	-1	
3	1	18	1	0	0	75	159	249	10	-1	
4	1	18	1	1	0	75	159	249	10	-1	
5	1	18	1	1	1	75	159	249	10	49.852264	‘AAAABBBBCCCCDDDDEEEEFFFFGGGG
2	1	19	0	0	0	30	192	52	11	-1	
3	1	19	1	0	0	30	192	52	11	-1	
4	1	19	1	1	0	30	192	52	11	-1	
5	1	19	1	1	1	30	197	6	5	58.091515	>
5	1	19	1	1	2	48	192	34	11	95.249413	stub
2	1	20	0	0	0	29	209	393	14	-1	
3	1	20	1	0	0	29	209	393	14	-1	
4	1	20	1	1	0	29	209	393	14	-1	
5	1	20	1	1	1	29	209	26	11	96.122688	The
5	1	20	1	1	2	66	209	43	14	96.651932	quick
5	1	20	1	1	3	120	209	43	11	96.651932	brown
5	1	20	1	1	4	174	209	25	11	96.938988	fox
5	1	20	1	1	5	210	209	43	14	96.901711	jumps
5	1	20	1	1	6	264	212	34	8	96.832268	over
5	1	20	1	1	7	309	209	25	11	96.832268	the
5	1	20	1	1	8	345	209	34	14	94.738503	lazy
5	1	20	1	1	9	389	209	33	14	95.956573	dog.
2	1	21	0	0	0	30	226	437	14	-1	
3	1	21	1	0	0	30	226	437	14	-1	
4	1	21	1	1	0	30	226	437	14	-1	
5	1	21	1	1	1	30	226	106	14	96.696877	Highlighting
5	1	21	1	1	2	147	229	25	11	96.822792	any
5	1	21	1	1	3	183	226	16	11	96.981949	of
5	1	21	1	1	4	210	226	43	11	96.862114	these
5	1	21	1	1	5	263	226	44	11	96.986954	words
5	1	21	1	1	6	318	226	52	11	96.963562	should
5	1	21	1	1	7	381	229	34	11	96.975540	copy
5	1	21	1	1	8	426	226	41	11	96.784889	them.
2	1	22	0	0	0	30	243	518	14	-1	
3	1	22	1	0	0	30	243	518	14	-1	
4	1	22	1	1	0	30	243	518	14	-1	
5	1	22	1	1	1	30	244	34	13	96.790901	Copy
5	1	22	1	1	2	75	246	16	8	96.730064	on
5	1	22	1	1	3	102	243	79	14	96.690155	highlight
5	1	22	1	1	4	192	243	16	11	96.857346	is
5	1	22	1	1	5	219	243	25	11	96.857346	off
5	1	22	1	1	6	255	243	43	11	96.406136	until
5	1	22	1	1	7	309	243	25	11	96.968262	the
5	1	22	1	1	8	345	243	61	14	96.888405	setting
5	1	22	1	1	9	417	243	16	11	96.632576	is
5	1	22	1	1	10	444	243	70	11	96.632576	switched
5	1	22	1	1	11	525	246	23	8	96.544014	on.
2	1	23	0	0	0	1337	749	4	4	-1	
3	1	23	1	0	0	1337	749	4	4	-1	
4	1	23	1	1	0	1337	749	4	4	-1	
5	1	23	1	1	1	1337	749	4	4	0.000000	¢
2	1	24	0	0	0	1336	750	56	31	-1	
3	1	24	1	0	0	1336	750	56	31	-1	
4	1	24	1	1	0	1336	750	56	31	-1	
5	1	24	1	1	1	1336	754	5	27	17.931814	i
5	1	24	1	1	2	1349	750	43	28	95.860413	Ready
2	1	25	0	0	0	36	817	288	18	-1	
3	1	25	1	0	0	36	817	288	18	-1	
4	1	25	1	1	0	36	817	288	18	-1	
5	1	25	1	1	1	36	817	44	18	80.337799	Bhell
5	1	25	1	1	2	91	819	70	12	96.233467	commands
5	1	25	1	1	3	172	822	16	9	96.818520	or
5	1	25	1	1	4	199	819	43	15	96.664803	agent
5	1	25	1	1	5	254	819	70	15	76.032402	prompts...
2	1	26	0	0	0	380	819	6	8	-1	
3	1	26	1	0	0	380	819	6	8	-1	
4	1	26	1	1	0	380	819	6	8	-1	
5	1	26	1	1	1	380	819	6	8	75.687485	?
2	1	27	0	0	0	407	819	70	15	-1	
3	1	27	1	0	0	407	819	70	15	-1	
4	1	27	1	1	0	407	819	70	15	-1	
5	1	27	1	1	1	407	819	25	12	94.278015	for
5	1	27	1	1	2	443	819	34	15	94.278015	help
2	1	28	0	0	0	1371	822	27	8	-1	
3	1	28	1	0	0	1371	822	27	8	-1	
4	1	28	1	1	0	1371	822	27	8	-1	
5	1	28	1	1	1	1371	822	27	8	88.242188	auto
2	1	29	0	0	0	45	861	53	12	-1	
3	1	29	1	0	0	45	861	53	12	-1	
4	1	29	1	1	0	45	861	53	12	-1	
5	1	29	1	1	1	45	861	53	12	78.910919	~/project
2	1	30	0	0	0	129	859	12	12	-1	
3	1	30	1	0	0	129	859	12	12	-1	
4	1	30	1	1	0	129	859	12	12	-1	
5	1	30	1	1	1	129	859	12	12	23.757486	a
2	1	31	0	0	0	1182	860	54	10	-1	
3	1	31	1	0	0	1182	860	54	10	-1	
4	1	31	1	1	0	1182	860	54	10	-1	
5	1	31	1	1	1	1182	861	31	9	93.877380	100%
5	1	31	1	1	2	1217	860	19	10	95.045135	left
2	1	32	0	0	0	1266	860	67	12	-1	
3	1	32	1	0	0	1266	860	67	12	-1	
4	1	32	1	1	0	1266	860	67	12	-1	
5	1	32	1	1	1	1266	860	25	10	94.809715	stub
5	1	32	1	1	2	1296	861	37	11	94.809715	(main)
2	1	33	0	0	0	1354	863	8	4	-1	
3	1	33	1	0	0	1354	863	8	4	-1	
4	1	33	1	1	0	1354	863	8	4	-1	
5	1	33	1	1	1	1354	863	8	4	20.622448	5
2	1	34	0	0	0	1388	859	8	11	-1	
